00074,SALLE SENECHAL,941,731,7,724,77.68,26,3.59,52,7.18,303,41.85,88,12.15,5,0.69,2,0.28,2,0.28,70,9.67,5,0.69,171,23.62
00075,ECOLE DU NORD,908,677,10,667,74.56,45,6.75,42,6.3,111,16.64,156,23.39,10,1.5,3,0.44,0,0.0,41,6.15,6,0.9,253,37.93
00076,ECOLE DU NORD,974,742,6,736,76.18,59,8.02,44,5.98,174,23.64,144,19.57,2,0.27,3,0.4,2,0.27,54,7.34,9,1.22,245,33.29
00077,ECOLE DU NORD,947,754,3,751,79.62,44,5.86,35,4.66,231,30.76,112,14.91,5,0.67,0,0.0,3,0.4,80,10.65,12,1.6,229,30.49
00078,ECOLE DU NORD,948,767,6,761,80.91,33,4.34,51,6.7,247,32.46,106,13.93,4,0.53,2,0.26,3,0.39,77,10.12,7,0.92,231,30.35
00079,ECOLE DU NORD,861,684,6,678,79.44,50,7.37,31,4.57,175,25.81,93,13.72,7,1.03,0,0.0,2,0.3,72,10.62,3,0.44,245,36.14
00080,ECOLE BAYARD,1139,836,9,827,73.4,43,5.2,63,7.62,214,25.88,143,17.29,8,0.97,3,0.36,1,0.12,79,9.55,7,0.85,266,32.16
00081,ECOLE BAYARD,1112,761,2,759,68.44,53,6.98,70,9.22,139,18.31,132,17.39,7,0.92,4,0.53,1,0.14,57,7.51,11,1.45,285,37.55
00082,ECOLE BAYARD,996,755,6,750,75.8,46,6.13,38,5.07,220,29.33,133,17.73,3,0.4,3,0.4,1,0.14,65,8.67,6,0.8,235,31.33
00083,ECOLE BAYARD,1112,900,6,894,80.94,54,6.04,63,7.05,311,34.79,124,13.87,7,0.78,3,0.33,0,0.0,80,8.95,5,0.56,247,27.63
00084,ECOLE BAYARD,1167,940,9,931,80.55,48,5.16,52,5.59,246,26.42,153,16.43,5,0.53,1,0.11,1,0.11,83,8.92,11,1.18,331,35.55
00085,PISCINE LEO LAGRANGE,988,747,7,740,75.61,45,6.08,54,7.3,188,25.41,151,20.41,9,1.22,2,0.27,1,0.13,69,9.32,6,0.81,215,29.05
00086,PISCINE LEO LAGRANGE,1025,813,8,806,79.32,49,6.08,49,6.08,183,22.7,142,17.62,15,1.86,1,0.12,2,0.25,73,9.06,10,1.24,282,34.99
00087,ECOLE BONNEFOY,1180,916,10,906,77.63,51,5.63,99,10.93,174,19.21,170,18.76,10,1.1,1,0.11,4,0.44,67,7.4,11,1.21,319,35.21
00088,ECOLE BONNEFOY,1132,877,10,867,77.47,45,5.19,92,10.61,185,21.34,158,18.22,9,1.04,2,0.23,1,0.12,70,8.07,8,0.92,297,34.26
