00082,ECOLE BAYARD,985,791,2,789,80.3,27,3.42,2,0.27,6,0.76,18,2.28,11,1.39,15,1.9,269,34.09,141,17.87,250,31.69,14,1.77,0,0.0,36,4.56
00083,ECOLE BAYARD,970,815,3,812,84.02,22,2.71,2,0.25,6,0.74,9,1.11,9,1.11,6,0.74,235,28.94,156,19.21,323,39.78,10,1.23,1,0.12,33,4.06
00084,ECOLE BAYARD,1121,959,8,951,85.55,35,3.68,1,0.11,3,0.31,21,2.21,11,1.16,6,0.63,336,35.33,187,19.66,292,30.7,10,1.05,1,0.11,48,5.05
00085,PISCINE LEO LAGRANGE,876,718,13,705,81.96,27,3.83,0,0.0,7,0.99,11,1.56,9,1.28,20,2.84,257,36.45,134,19.01,201,28.51,6,0.85,2,0.28,31,4.4
00086,PISCINE LEO LAGRANGE,1138,970,13,957,85.24,36,3.76,0,0.0,11,1.15,33,3.45,9,0.94,28,2.93,359,37.51,186,19.44,240,25.08,3,0.31,0,0.0,52,5.43
00087,ECOLE BONNEFOY,1229,1017,7,1010,82.75,39,3.86,3,0.29,13,1.29,24,2.38,30,2.97,22,2.18,391,38.71,162,16.04,222,21.98,17,1.68,4,0.4,83,8.22
00088,ECOLE BONNEFOY,1075,896,3,893,83.35,34,3.81,2,0.22,6,0.67,24,2.69,15,1.68,15,1.68,357,39.98,158,17.69,223,24.97,6,0.67,3,0.34,50,5.6
00089,ECOLE BONNEFOY,1036,849,14,835,81.95,29,3.47,2,0.24,5,0.59,12,1.44,15,1.8,19,2.28,288,34.49,149,17.84,229,27.43,11,1.32,2,0.24,74,8.86
00090,ECOLE BONNEFOY,1068,842,12,830,78.84,52,6.27,2,0.23,5,0.6,26,3.13,16,1.93,14,1.69,293,35.3,156,18.8,192,23.13,11,1.33,4,0.48,59,7.11
00091,ECOLE BONNEFOY,1081,856,6,850,79.19,44,5.18,4,0.46,16,1.88,18,2.12,23,2.71,10,1.18,281,33.06,123,14.47,237,27.88,17,2.0,0,0.0,77,9.06
00092,ECOLE BONNEFOY,1101,917,8,909,83.29,24,2.64,1,0.12,3,0.33,18,1.98,11,1.21,16,1.76,337,37.07,170,18.7,260,28.6,12,1.32,2,0.22,55,6.05
00093,ECOLE BONNEFOY,1172,977,12,965,83.36,37,3.83,1,0.1,5,0.52,28,2.9,21,2.18,20,2.09,368,38.13,190,19.69,241,24.97,5,0.52,1,0.1,48,4.97
00094,ECOLE PIERRE ET MARIE CURIE,997,833,8,825,83.55,34,4.12,0,0.0,7,0.85,20,2.42,25,3.03,15,1.82,323,39.15,165,20.0,196,23.76,8,0.97,2,0.24,30,3.64
00095,ECOLE PIERRE ET MARIE CURIE,1024,876,11,865,85.55,36,4.16,3,0.35,4,0.46,22,2.54,22,2.54,17,1.97,323,37.34,181,20.92,192,22.2,9,1.04,2,0.24,54,6.24
00096,ECOLE PIERRE ET MARIE CURIE,954,778,13,765,81.55,32,4.18,1,0.13,12,1.57,18,2.35,24,3.14,12,1.57,300,39.22,125,16.34,169,22.09,8,1.05,2,0.26,62,8.1
00097,ECOLE PIERRE ET MARIE CURIE,1102,953,15,938,86.48,34,3.62,4,0.43,6,0.64,20,2.13,23,2.45,13,1.39,375,39.98,149,15.88,205,21.86,15,1.6,5,0.53,89,9.49
00099,ECOLE PIERRE ET MARIE CURIE,919,747,10,737,81.28,36,4.88,2,0.27,6,0.81,15,2.04,34,4.61,14,1.91,282,38.26,109,14.79,186,25.24,6,0.81,2,0.27,45,6.11
00100,ECOLE MONGE,983,795,3,792,80.87,37,4.67,1,0.12,5,0.63,31,3.91,4,0.51,35,4.42,361,45.58,143,18.06,132,16.67,6,0.76,3,0.38,34,4.29
00101,ECOLE MONGE,1088,926,7,919,85.11,48,5.22,3,0.33,12,1.31,23,2.5,13,1.41,17,1.85,363,39.5,171,18.61,209,22.74,15,1.63,4,0.44,41,4.46
00102,ECOLE MONGE,716,546,1,545,76.26,25,4.59,2,0.37,7,1.28,11,2.02,13,2.39,6,1.1,204,37.43,96,17.61,135,24.77,10,1.83,1,0.19,35,6.42
00103,ECOLE MONGE,856,691,9,682,80.72,20,2.93,2,0.29,7,1.03,10,1.47,26,3.81,4,0.59,287,42.08,131,19.21,137,20.09,8,1.17,6,0.88,44,6.45
00104,ECOLE MICHOUN,928,755,9,746,81.36,15,2.01,3,0.4,5,0.67,9,1.21,20,2.68,11,1.47,259,34.72,139,18.63,208,27.88,20,2.68,2,0.28,55,7.37
00105,ECOLE MICHOUN,890,725,8,717,81.46,29,4.04,3,0.42,7,0.98,12,1.67,17,2.37,16,2.23,259,36.12,117,16.32,175,24.41,9,1.26,0,0.0,73,10.18
00106,ECOLE MICHOUN,974,814,13,801,83.57,47,5.87,4,0.51,7,0.87,11,1.37,12,1.5,6,0.75,272,33.96,168,20.97,174,21.72,13,1.62,6,0.75,81,10.11
00107,ECOLE MICHOUN,1150,1013,8,1005,88.09,32,3.18,3,0.3,13,1.29,21,2.09,12,1.19,22,2.19,321,31.94,208,20.7,288,28.66,12,1.19,2,0.21,71,7.06
00108,ECOLE MICHOUN,937,832,9,823,88.79,30,3.65,0,0.0,4,0.49,16,1.94,18,2.19,8,0.97,236,28.68,154,18.71,280,34.02,6,0.73,2,0.24,69,8.38
00109,ECOLE LA JUNCASSE,1029,849,7,842,82.51,39,4.63,6,0.7,4,0.48,19,2.26,12,1.43,15,1.78,266,31.59,142,16.86,262,31.12,7,0.83,4,0.48,66,7.84
0010A,ECOLE MICHELET,950,785,7,778,82.63,18,2.31,2,0.26,8,1.03,21,2.7,4,0.51,17,2.19,315,40.49,158,20.31,186,23.91,4,0.51,0,0.0,45,5.78
00110,ECOLE LA JUNCASSE,883,735,6,729,83.24,21,2.88,4,0.55,9,1.23,10,1.37,21,2.88,8,1.1,254,34.84,132,18.11,206,28.26,5,0.69,6,0.82,53,7.27
00111,ECOLE LA JUNCASSE,972,815,4,811,83.85,22,2.71,2,0.26,10,1.23,16,1.97,7,0.86,15,1.85,264,32.55,188,23.18,218,26.88,10,1.23,3,0.37,56,6.91
00112,ECOLE LA JUNCASSE,879,696,1,695,79.18,32,4.6,2,0.28,7,1.01,12,1.73,27,3.88,10,1.44,239,34.39,110,15.83,172,24.75,5,0.72,3,0.43,76,10.94
00113,ECOLE LA JUNCASSE,1013,863,6,857,85.19,35,4.08,2,0.23,14,1.63,13,1.52,26,3.03,16,1.87,326,38.04,185,21.59,181,21.12,10,1.17,1,0.12,48,5.6
