00073,ECOLE SERMET,1115,851,7,844,76 %,53,6,45,5,195,23,166,19,5,0,3,0,3,0,81,9,8,0,285,33
00074,SALLE SENECHAL,941,731,7,724,77 %,26,3,52,7,303,41,88,12,5,0,2,0,2,0,70,9,5,0,171,23
00075,ECOLE DU NORD,908,677,10,667,74 %,45,6,42,6,111,16,156,23,10,1,3,0,0,0,41,6,6,0,253,37
00076,ECOLE DU NORD,974,742,6,736,76 %,59,8,44,5,174,23,144,19,2,0,3,0,2,0,54,7,9,1,245,33
00077,ECOLE DU NORD,947,754,3,751,79 %,44,5,35,4,231,30,112,14,5,0,0,0,3,0,80,10,12,1,229,30
00078,ECOLE DU NORD,948,767,6,761,80 %,33,4,51,6,247,32,106,13,4,0,2,0,3,0,77,10,7,0,231,30
00079,ECOLE DU NORD,861,684,6,678,79 %,50,7,31,4,175,25,93,13,7,1,0,0,2,0,72,10,3,0,245,36
00080,ECOLE BAYARD,1139,836,9,827,73 %,43,5,63,7,214,25,143,17,8,0,3,0,1,0,79,9,7,0,266,32
00081,ECOLE BAYARD,1112,761,2,759,68 %,53,6,70,9,139,18,132,17,7,0,4,0,1,0,57,7,11,1,285,37
00082,ECOLE BAYARD,996,755,6,750,75 %,46,6,38,5,220,29,133,17,3,0,3,0,1,0,65,8,6,0,235,31
00083,ECOLE BAYARD,1112,900,6,894,80 %,54,6,63,7,311,34,124,13,7,0,3,0,0,0,80,8,5,0,247,27
00084,ECOLE BAYARD,1167,940,9,931,80 %,48,5,52,5,246,26,153,16,5,0,1,0,1,0,83,8,11,1,331,35
00085,PISCINE LEO LAGRANGE,988,747,7,740,75 %,45,6,54,7,188,25,151,20,9,1,2,0,1,0,69,9,6,0,215,29
00086,PISCINE LEO LAGRANGE,1025,813,8,806,79 %,49,6,49,6,183,22,142,17,15,1,1,0,2,0,73,9,10,1,282,34
00087,ECOLE BONNEFOY,1180,916,10,906,77 %,51,5,99,10,174,19,170,18,10,1,1,0,4,0,67,7,11,1,319,35
00088,ECOLE BONNEFOY,1132,877,10,867,77 %,45,5,92,10,185,21,158,18,9,1,2,0,1,0,70,8,8,0,297,34
00089,ECOLE BONNEFOY,1218,942,13,928,77 %,36,3,108,11,231,24,157,16,4,0,2,0,0,0,75,8,10,1,305,32
00090,ECOLE BONNEFOY,1109,820,16,803,73 %,48,5,82,10,158,19,126,15,8,1,6,0,1,0,69,8,10,1,295,36
00091,ECOLE BONNEFOY,1093,803,15,788,73 %,35,4,77,9,154,19,176,22,5,0,6,0,2,0,66,8,8,1,259,32
00092,ECOLE BONNEFOY,1161,875,12,863,75 %,34,3,76,8,214,24,149,17,7,0,1,0,2,0,80,9,15,1,285,33
00093,ECOLE BONNEFOY,1188,923,16,907,77 %,54,5,62,6,197,21,160,17,13,1,3,0,0,0,96,10,12,1,310,34
00094,ECOLE PIERRE ET MARIE CURIE,1099,867,8,859,78 %,49,5,64,7,176,20,187,21,11,1,2,0,3,0,71,8,13,1,283,32
00095,ECOLE PIERRE ET MARIE CURIE,1016,798,9,789,78 %,48,6,83,10,132,16,140,17,8,1,3,0,2,0,74,9,16,2,283,35
00096,ECOLE PIERRE ET MARIE CURIE,969,757,15,742,78 %,34,4,93,12,123,16,152,20,3,0,3,0,3,0,68,9,14,1,249,33
00097,ECOLE PIERRE ET MARIE CURIE,1055,827,9,818,78 %,28,3,117,14,144,17,141,17,11,1,4,0,4,0,69,8,6,0,294,35
00099,ECOLE PIERRE ET MARIE CURIE,945,709,10,699,75 %,37,5,78,11,141,20,123,17,18,2,5,0,3,0,54,7,8,1,232,33
0010A,ECOLE MICHELET,989,750,4,747,75 %,32,4,55,7,196,26,125,16,6,0,4,0,2,0,60,8,6,0,261,34
00100,ECOLE MONGE,1022,758,8,750,74 %,72,9,48,6,111,14,181,24,11,1,5,0,1,0,53,7,12,1,256,34
00101,ECOLE MONGE,1123,901,4,897,80 %,61,6,64,7,188,20,155,17,19,2,2,0,3,0,89,9,4,0,312,34
00102,ECOLE MONGE,722,515,5,510,71 %,18,3,51,10,86,16,107,20,6,1,1,0,2,0,45,8,6,1,188,36
00103,ECOLE MONGE,858,642,12,630,74 %,32,5,54,8,117,18,112,17,8,1,5,0,1,0,44,6,9,1,248,39
